number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
137,Address EMFILE (too many open files) errors for clean `grunt test` runs,1372454111,1372712057,1372712057.0,benjamn,1,1,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,611108.0,"Apollo Graph, Inc (formerly: Meteor, Facebook/Instagram, Quora, Mozilla)",2816,231,166,68,1207625195,1721594065
166,Fix tests when using phantomjs 1.9.1-1,1373065219,1373066289,1373066289.0,benjamn,1,1,closed,0,CONTRIBUTOR,0,0,0,0,0,0,0,0,0,0,433051.0,"Apollo Graph, Inc (formerly: Meteor, Facebook/Instagram, Quora, Mozilla)",2816,231,166,68,1207625195,1721594065
183,Parsing error for HTML entity in nested JSX.,1373498270,1452723583,1392508169.0,lrowe,0,1,closed,0,CONTRIBUTOR,11,0,0,0,0,0,0,0,0,0,763037.0,,80,0,128,19,1275157548,1713804261
215,Some lifecycle methods are broken,1374261307,1374276943,1374276943.0,zpao,0,1,closed,0,MEMBER,5,0,0,0,0,0,0,0,0,0,426421.0,@facebook ,4877,24,160,94,1209098302,1728240492
229,Docblock parsing fails with \r\n,1374687728,1407825913,1379975479.0,zpao,0,1,closed,0,MEMBER,1,0,0,0,0,0,0,0,0,0,466670.0,@facebook ,4877,24,160,94,1209098302,1728240492
242,Radio buttons not working correctly,1375154398,1378587299,1378587299.0,chenglou,0,1,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,509775.0,,5861,8,167,38,1341084644,1729040271
250,`defaultValue` for select not working,1375664173,1388737942,1376801415.0,chenglou,0,1,closed,0,CONTRIBUTOR,0,0,0,0,0,0,0,0,0,0,833281.0,,5861,8,167,38,1341084644,1729040271
264,"""rowspan"" attribute does not appear in DOM",1376497454,1399299326,1377455676.0,ericclemmons,0,2,closed,0,CONTRIBUTOR,9,0,0,0,0,0,0,0,0,0,1400183.0,,1051,23,210,51,1214509544,1729035438
302,Standardize prop -> DOM attribute process,1377897637,1408498939,1381865145.0,zpao,0,1,closed,0,MEMBER,3,0,0,0,0,0,0,0,0,0,1633489.0,@facebook ,4877,24,160,94,1209098302,1728240492
358,Use MutationObserver instead of Mutation Events,1379531126,1381535190,1381535190.0,zpao,0,2,closed,0,MEMBER,5,0,0,0,0,0,0,0,0,0,2339743.0,@facebook ,4877,24,160,94,1209098302,1728240492
427,Use the right document in iframe selection events,1381870869,1533341244,1533341243.0,zpao,0,3,closed,0,MEMBER,3,0,0,0,0,0,0,0,0,0,548564.0,@facebook ,4877,24,160,94,1209098302,1728240492
