number,title,created_at,updated_at,closed_at,creator_name,assignees_num,labels_num,state,locked,author_association,comments_num,reactions_+1_num,reactions_-1_num,reactions_laugh_num,reactions_hooray_num,reactions_confused_num,reactions_heart_num,reactions_rocket_num,reactions_eyes_num,reactions_total_num,time_to_next_issue,creator_company,creator_followers_num,creator_following_num,creator_public_repos_num,creator_public_gists_num,creator_created_at,creator_updated_at
42627,[SR-1] Linux: remove Swift dependence on the swift.ld linker script,1446783401,1650869814,1525645648.0,jopamer,0,2,closed,0,CONTRIBUTOR,8,0,0,0,0,0,0,0,0,0,5336.0,,92,1,6,0,1297743638,1720725472
42629,[SR-3] #if doesn't allow newlines,1446788737,1650869815,1595517122.0,jopamer,0,3,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,112.0,,92,1,6,0,1297743638,1720725472
42630,[SR-4] API availability checks are not implemented for non-Darwin platforms,1446788849,1711953920,,jopamer,0,2,open,0,CONTRIBUTOR,1,0,0,0,0,0,0,0,0,0,94.0,,92,1,6,0,1297743638,1720725472
42631,[SR-5] [Iterative Decl Checker] Recursive type alias defaults crash the compiler,1446788943,1650869818,1524313189.0,jopamer,1,2,closed,0,CONTRIBUTOR,4,0,0,0,0,0,0,0,0,0,413.0,,92,1,6,0,1297743638,1720725472
42633,[SR-7] Inferring closure param type to inout crashes compiler,1446789356,1650869821,1524313206.0,jopamer,1,2,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,71.0,,92,1,6,0,1297743638,1720725472
42634,[SR-8] Crash on invalid protocol usage,1446789427,1650869821,1524313220.0,jopamer,1,2,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,281.0,,92,1,6,0,1297743638,1720725472
42635,[SR-9] Activate enum import tests on Linux,1446789708,1651533779,1651533779.0,jopamer,0,2,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,88.0,,92,1,6,0,1297743638,1720725472
42636,[SR-10] Demangler crashes on method signature,1446789796,1650869823,1456176568.0,jopamer,1,2,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,2382739.0,,92,1,6,0,1297743638,1720725472
42638,"[SR-15] Glibc module doesn't work with Gentoo: prefix is /usr/include/sys, not /usr/include/x86_64-linux-gnu/sys",1449172535,1650869826,1461558806.0,b9e45994-f1ab-4caa-ab67-04c71c9dbfb6,1,2,closed,0,MANNEQUIN,11,0,0,0,0,0,0,0,0,0,10241.0,,0,0,0,0,1649834223,1649834223
42643,"[SR-20] Update swift --help to explain multitool support (""swift build"", etc.)",1449182776,1650869830,1560189918.0,swift-ci,0,1,closed,0,CONTRIBUTOR,4,0,0,0,0,0,0,0,0,0,1822.0,,440,0,0,0,1446234308,1675096579
42645,"[SR-22] build fails when following the ""getting started"" on Ubuntu 14.04",1449184598,1650869840,1450177954.0,swift-ci,0,1,closed,0,CONTRIBUTOR,6,0,0,0,0,0,0,0,0,0,1464.0,,440,0,0,0,1446234308,1675096579
42646,[SR-23] Build fails on Ubuntu 14.04.1 -> error: opening ... 'SwiftShims': No such file,1449186062,1650869842,,swift-ci,1,1,open,0,CONTRIBUTOR,19,0,0,0,0,0,0,0,0,0,10621.0,,440,0,0,0,1446234308,1675096579
42650,[SR-27] Passing variadic function as a function parameter crashes compiler with SIGSEGV,1449196683,1650869844,1524313335.0,swift-ci,0,2,closed,0,CONTRIBUTOR,3,0,0,0,0,0,0,0,0,0,2350.0,,440,0,0,0,1446234308,1675096579
42651,[SR-28] swiftc crashes on type equality check in where clause,1449199033,1650869845,1468222047.0,swift-ci,0,2,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,7328.0,,440,0,0,0,1446234308,1675096579
42659,[SR-36] Serialization/write-to-locked-dir.swift test failure in Ubuntu while on NTFS drive,1449206361,1650869853,,swift-ci,0,2,open,0,CONTRIBUTOR,1,0,0,0,0,0,0,0,0,0,4646.0,,440,0,0,0,1446234308,1675096579
42661,"[SR-38] ""protocol can only be used as a generic constraint"" errors reported twice",1449211007,1650869855,1454561476.0,05262b81-54a9-4fe1-bf6a-96f8042de10e,1,4,closed,0,MANNEQUIN,1,0,0,0,0,0,0,0,0,0,2255.0,,0,0,0,0,1649664464,1649664464
42662,[SR-39] Unable to start REPL on Linux,1449213262,1650869858,1449302952.0,swift-ci,0,1,closed,0,CONTRIBUTOR,15,0,0,0,0,0,0,0,0,0,2619.0,,440,0,0,0,1446234308,1675096579
42665,[SR-42] Implicit Optionals are not implicit on a tuple assignment.,1449215881,1650927304,1650927303.0,swift-ci,0,2,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,3052.0,,440,0,0,0,1446234308,1675096579
42666,[SR-43] Setting setter of var before getter makes SourceKit crashes,1449218933,1650869860,1470869668.0,swift-ci,0,1,closed,0,CONTRIBUTOR,2,0,0,0,0,0,0,0,0,0,350.0,,440,0,0,0,1446234308,1675096579
42667,[SR-44] Checking protocol adherence of self in a static function produces LLVM ERROR,1449219283,1650869862,1524431732.0,swift-ci,0,3,closed,0,CONTRIBUTOR,6,0,0,0,0,0,0,0,0,0,17794.0,,440,0,0,0,1446234308,1675096579
